date,team_id,team_name,match_id,date_played,type,home_team,home_goals,away_team,away_goals
2025-03-26,876200,Altan-69erc,1506720198,2025-03-24 10:00,qualification,,,,
2025-03-26,876200,Altan-69erc,1506720196,2025-03-22 10:00,qualification,,,,
2025-03-26,876200,Altan-69erc,1506720194,2025-03-20 07:00,qualification,,,,
2025-03-26,876200,Altan-69erc,1490450644,2025-03-16 15:30,league,,,,
2025-03-26,876200,Altan-69erc,1490450638,2025-03-12 10:30,league,,,,
2025-03-26,876200,Altan-69erc,1490450629,2025-03-09 13:00,league,,,,
2025-03-26,876200,Altan-69erc,1490450626,2025-03-05 07:45,league,,,,
2025-03-26,876200,Altan-69erc,1490450616,2025-03-02 15:45,league,,,,
2025-03-26,876200,Altan-69erc,1490450613,2025-02-26 12:00,league,,,,
2025-03-26,876200,Altan-69erc,1490450608,2025-02-23 16:00,league,,,,
2025-03-26,895745,Daday,1490453417,2025-03-16 07:30,league,,,,
2025-03-26,895745,Daday,1490453410,2025-03-12 09:15,league,,,,
2025-03-26,895745,Daday,1490453402,2025-03-09 12:45,league,,,,
2025-03-26,895745,Daday,1490453396,2025-03-05 09:00,league,,,,
2025-03-26,895745,Daday,1490453391,2025-03-02 08:30,league,,,,
2025-03-26,895745,Daday,1490453387,2025-02-26 11:30,league,,,,
2025-03-26,895745,Daday,1490453378,2025-02-23 11:15,league,,,,
2025-03-26,950074,Erzin Spor,1507780473,2025-03-26 12:59,,,,,
2025-03-26,950074,Erzin Spor,1490454996,2025-03-16 08:30,league,,,,
2025-03-26,950074,Erzin Spor,1490454995,2025-03-12 10:45,league,,,,
2025-03-26,950074,Erzin Spor,1490454985,2025-03-09 11:30,league,,,,
2025-03-26,950074,Erzin Spor,1490454981,2025-03-05 07:30,league,,,,
2025-03-26,950074,Erzin Spor,1490454976,2025-03-02 11:00,league,,,,
2025-03-26,950074,Erzin Spor,1490454966,2025-02-26 10:15,league,,,,
2025-03-26,950074,Erzin Spor,1490454962,2025-02-23 12:15,league,,,,
2025-03-26,937054,FC Kandıra,1490455262,2025-03-16 14:45,league,,,,
2025-03-26,937054,FC Kandıra,1490455255,2025-03-12 14:00,league,,,,
2025-03-26,937054,FC Kandıra,1490455253,2025-03-09 07:00,league,,,,
2025-03-26,937054,FC Kandıra,1490455247,2025-03-05 09:00,league,,,,
2025-03-26,937054,FC Kandıra,1490455236,2025-03-02 15:30,league,,,,
2025-03-26,937054,FC Kandıra,1490455232,2025-02-26 07:30,league,,,,
2025-03-26,937054,FC Kandıra,1490455224,2025-02-23 12:00,league,,,,
2025-03-26,887769,Fainera,1506328242,2025-03-25 21:00,private_cup_group,,,,
2025-03-26,887769,Fainera,1507202144,2025-03-25 20:00,friendly_series,,,,
2025-03-26,887769,Fainera,1507295420,2025-03-25 19:00,friendly,,,,
2025-03-26,887769,Fainera,1507594744,2025-03-25 19:00,private_cup_group,,,,
2025-03-26,887769,Fainera,1507724209,2025-03-25 18:13,special,,,,
2025-03-26,887769,Fainera,1507724201,2025-03-25 18:13,special,,,,
2025-03-26,887769,Fainera,1506535327,2025-03-25 18:00,friendly_series,,,,
2025-03-26,887769,Fainera,1506163566,2025-03-25 17:00,private_cup_group,,,,
2025-03-26,887769,Fainera,1506074403,2025-03-25 17:00,cup_group,,,,
2025-03-26,887769,Fainera,1506325796,2025-03-25 16:00,friendly_series,,,,
2025-03-26,887769,Fainera,1505525516,2025-03-25 15:00,private_cup_group,,,,
2025-03-26,887769,Fainera,1506325548,2025-03-25 14:00,friendly_series,,,,
2025-03-26,887769,Fainera,1507700166,2025-03-25 11:35,special,,,,
2025-03-26,887769,Fainera,1507700152,2025-03-25 11:35,special,,,,
2025-03-26,887769,Fainera,1507295419,2025-03-25 11:00,friendly,,,,
2025-03-26,887769,Fainera,1506243397,2025-03-24 22:00,cup_group,,,,
2025-03-26,887769,Fainera,1507202133,2025-03-24 20:00,friendly_series,,,,
2025-03-26,887769,Fainera,1506160337,2025-03-24 19:00,private_cup_group,,,,
2025-03-26,887769,Fainera,1506535322,2025-03-24 18:00,friendly_series,,,,
2025-03-26,887769,Fainera,1506074395,2025-03-24 17:00,cup_group,,,,
2025-03-26,887769,Fainera,1505973186,2025-03-24 17:00,,,,,
2025-03-26,887769,Fainera,1506163561,2025-03-24 17:00,private_cup_group,,,,
2025-03-26,887769,Fainera,1506325782,2025-03-24 16:00,friendly_series,,,,
2025-03-26,887769,Fainera,1506253954,2025-03-24 15:00,private_cup_group,,,,
2025-03-26,887769,Fainera,1506325543,2025-03-24 14:00,friendly_series,,,,
2025-03-26,887769,Fainera,1505948629,2025-03-24 12:15,,,,,
